post,account,date,year,n_char,n_words
p_dr_med_mareike_awe_110421.txt,p_dr_med_mareike_awe,110421,21,563,73
p_dr_med_mareike_awe_010421.txt,p_dr_med_mareike_awe,010421,21,470,53
p_charlotte_weise_110720.txt,p_charlotte_weise,110720,20,204,21
p_anipunkt_020421.txt,p_anipunkt,020421,21,866,144
p_milenka_emilia_100722.txt,p_milenka_emilia,100722,22,1047,157
p_jesswayoflife_010520.txt,p_jesswayoflife,010520,20,2192,339
p_sarahuvm_070421.txt,p_sarahuvm,070421,21,363,42
p_melodie_michelberger_100520.txt,p_melodie_michelberger,100520,20,2201,354
p_curvesarewonderful_220421.txt,p_curvesarewonderful,220421,21,766,110
p_charlotte_weise_020220.txt,p_charlotte_weise,020220,20,554,68
p_ms_wunderbar_260321.txt,p_ms_wunderbar,260321,21,128,14
p_sarahuvm_220321.txt,p_sarahuvm,220321,21,523,60
p_random_mentalist_130522.txt,p_random_mentalist,130522,22,1386,199
p_mutausbrueche_180720.txt,p_mutausbrueche,180720,20,975,154
p_hej_hejdi_210722.txt,p_hej_hejdi,210722,22,627,92
p_dr_med_mareike_awe_130722.txt,p_dr_med_mareike_awe,130722,22,948,142
p_sinem_coaching_280522.txt,p_sinem_coaching,280522,22,676,64
p_endlich_zufrieden_261020.txt,p_endlich_zufrieden,261020,20,764,106
p_charlotte_weise_231020.txt,p_charlotte_weise,231020,20,92,10
p_sinem_coaching_230222.txt,p_sinem_coaching,230222,22,1815,243
p_luluandherselflove_290422.txt,p_luluandherselflove,290422,22,636,98
p_holly_nimmt_ab_050822.txt,p_holly_nimmt_ab,050822,22,503,55
p_dr_med_mareike_awe_250522.txt,p_dr_med_mareike_awe,250522,22,946,142
p_sarahuvm_300422.txt,p_sarahuvm,300422,22,617,105
p_noch_so_eine_die_abnimmt_090621.txt,p_noch_so_eine_die_abnimmt,090621,21,2183,340
p_curvesarewonderful_170321.txt,p_curvesarewonderful,170321,21,850,114
p_anjadeidler_290720.txt,p_anjadeidler,290720,20,205,33
p_sarahuvm_150521.txt,p_sarahuvm,150521,21,442,47
p_dr_med_mareike_awe_100421.txt,p_dr_med_mareike_awe,100421,21,541,70
p_milenka_emilia_120622.txt,p_milenka_emilia,120622,22,1384,200
p_milenka_emilia_020622.txt,p_milenka_emilia,020622,22,981,154
p_silviajauch_191120.txt,p_silviajauch,191120,20,438,59
p_luluandherselflove_261021.txt,p_luluandherselflove,261021,21,933,122
p_jesswayoflife_150920.txt,p_jesswayoflife,150920,20,2187,333
p_orchidea_luna_210822.txt,p_orchidea_luna,210822,22,79,10
p_luluandherselflove_300422.txt,p_luluandherselflove,300422,22,704,111
p_curvesarewonderful_050421.txt,p_curvesarewonderful,050421,21,1508,224
p_endlich_zufrieden_200422.txt,p_endlich_zufrieden,200422,22,566,82
p_mirjanazuber_221120.txt,p_mirjanazuber,221120,20,718,119
p_hannahmaylou_130221.txt,p_hannahmaylou,130221,21,182,25
p_jesswayoflife_231020.txt,p_jesswayoflife,231020,20,691,89
p_silvicarlsson_060720.txt,p_silvicarlsson,060720,20,435,66
p_charlotte_weise_130421.txt,p_charlotte_weise,130421,21,423,28
p_anjazeidler_230720.txt,p_anjazeidler,230720,20,1136,168
p_endlich_zufrieden_131120.txt,p_endlich_zufrieden,131120,20,888,138
p_sarahuvm_140321.txt,p_sarahuvm,140321,21,834,126
p_endlich_zufrieden_040322.txt,p_endlich_zufrieden,040322,22,610,93
p_aniahimsa_191120.txt,p_aniahimsa,191120,20,2055,320
p_sincerelyjaane_171020.txt,p_sincerelyjaane,171020,20,1126,173
p_luluandherselflove_020222.txt,p_luluandherselflove,020222,22,699,95
p_jesswayoflife_261020.txt,p_jesswayoflife,261020,20,2157,314
p_luluandherselflove_150921.txt,p_luluandherselflove,150921,21,1401,207
p_dr_med_mareike_awe_160522.txt,p_dr_med_mareike_awe,160522,22,766,126
p_nathaliemoves_191120.txt,p_nathaliemoves,191120,20,53,12
p_anjazeidler_080122.txt,p_anjazeidler,080122,22,1203,184
p_milenka_emilia_210421.txt,p_milenka_emilia,210421,21,1450,210
p_dr_med_mareike_awe_230622.txt,p_dr_med_mareike_awe,230622,22,558,87
p_ninabotzen_310520.txt,p_ninabotzen,310520,20,244,32
p_angeliquelini_040421.txt,p_angeliquelini,040421,21,380,55
p_jesswayoflife_191021.txt,p_jesswayoflife,191021,21,1993,316
p_noch_so_eine_die_abnimmt_200722.txt,p_noch_so_eine_die_abnimmt,200722,22,1565,242
p_mutausbrueche_230120.txt,p_mutausbrueche,230120,20,781,120
p_sarahuvm_190521.txt,p_sarahuvm,190521,21,431,59
p_charlotte_weise_290420.txt,p_charlotte_weise,290420,20,1141,192
p_random_mentalist_060722.txt,p_random_mentalist,060722,22,1454,223
p_male_geers_220421.txt,p_male_geers,220421,21,548,70
p_jackie_inspires_260620.txt,p_jackie_inspires,260620,20,562,86
p_milenka_emilia_150321.txt,p_milenka_emilia,150321,21,1522,229
p_endlich_zufrieden_291120.txt,p_endlich_zufrieden,291120,20,351,40
p_luluandherselflove_051021.txt,p_luluandherselflove,051021,21,1263,185
p_noch_so_eine_die_abnimmt_160721.txt,p_noch_so_eine_die_abnimmt,160721,21,1360,197
p_noch_so_eine_die_abnimmt_150621.txt,p_noch_so_eine_die_abnimmt,150621,21,1979,309
